chr,s,e,fst
1,1,40000,0.00834828366648062
1,20001,60000,0.0082275614988422
1,40001,80000,0.00730980070899378
1,60001,100000,0.00823854105426315
1,80001,120000,0.00880223362527163
1,100001,140000,0.00853262770353734
1,120001,160000,0.010006031786117
1,140001,180000,0.0115499644460471
1,160001,200000,0.0142665059159542
1,180001,220000,0.0114148610996946
1,200001,240000,0.00860249368290555
1,220001,260000,0.00894670859257961
1,240001,280000,0.00917244379509695
1,260001,300000,0.00878767411852282
1,280001,320000,0.00783400839394604
1,300001,340000,0.00744045986666111
1,320001,360000,0.00665632554645698
1,340001,380000,0.00831476946721218
1,360001,400000,0.00816386942403237
1,380001,420000,0.00647942856775484
1,400001,440000,0.00769719510592354
1,420001,460000,0.0112263884831093
1,440001,480000,0.0149298143764516
1,460001,500000,0.0147668607083944
1,480001,520000,0.00852872855692031
1,500001,540000,0.00914046158464153
1,520001,560000,0.0105237457695911
1,540001,580000,0.012325658066044
1,560001,600000,0.0119966917391877
1,580001,620000,0.0234745832597927
1,600001,640000,0.0206156090015291
1,620001,660000,0.0175840973558536
1,640001,680000,0.0176713945761774
1,660001,700000,0.0147551640174797
1,680001,720000,0.0136238441591909
1,700001,740000,0.0145276990066561
1,720001,760000,0.0108502872772736
1,740001,780000,0.00970038202040223
1,760001,800000,0.00967707688920823
1,780001,820000,0.0113529883290296
1,800001,840000,0.0133869301352153
1,820001,860000,0.00802257385933474
1,840001,880000,0.00803803253480889
1,860001,900000,0.00951241626863236
1,880001,920000,0.0117878525815862
1,900001,940000,0.0127534850091927
1,920001,960000,0.0150648529310335
1,940001,980000,0.013506342566234
1,960001,1000000,0.010593013955067
1,980001,1020000,0.0108417101007107
1,1000001,1040000,0.0131343333566986
1,1020001,1060000,0.0156361587488059
1,1040001,1080000,0.0154014347245599
1,1060001,1100000,0.0132672383874251
1,1080001,1120000,0.0113448191724999
1,1100001,1140000,0.012641378771525
1,1120001,1160000,0.016319351273039
1,1140001,1180000,0.0156374961217894
1,1160001,1200000,0.0187011290515994
1,1180001,1220000,0.0243619736339565
1,1200001,1240000,0.0246989156164192
1,1220001,1260000,0.0206713786214226
1,1240001,1280000,0.0251134679584131
1,1260001,1300000,0.0328214005684654
1,1280001,1320000,0.0292274055532642
1,1300001,1340000,0.0183236254173082
1,1320001,1360000,0.0170094891546765
1,1340001,1380000,0.0223486894732912
1,1360001,1400000,0.0216471661192503
1,1380001,1420000,0.020844689976934
1,1400001,1440000,0.0265112279239375
1,1420001,1460000,0.0265126550552364
1,1440001,1480000,0.0289583062800564
1,1460001,1500000,0.0288238251445589
1,1480001,1520000,0.0189810969175891
1,1500001,1540000,0.0171219199558709
1,1520001,1560000,0.0186304898053758
1,1540001,1580000,0.0160885923700798
1,1560001,1600000,0.0181665193488301
1,1580001,1620000,0.0202276747117243
1,1600001,1640000,0.0147774666809985
1,1620001,1660000,0.0157059576937912
1,1640001,1680000,0.0219250091344455
1,1660001,1700000,0.0262033022283513
1,1680001,1720000,0.0202138561925924
1,1700001,1740000,0.0125080225805014
1,1720001,1760000,0.0136257089440282
1,1740001,1780000,0.0214342108940541
1,1760001,1800000,0.0248526151176631
1,1780001,1820000,0.0220152428567968
1,1800001,1840000,0.0157996003868696
1,1820001,1860000,0.0144725659043743
1,1840001,1880000,0.0166919316017067
1,1860001,1900000,0.0154224880545542
1,1880001,1920000,0.0154285204695077
1,1900001,1940000,0.0180322267604198
1,1920001,1960000,0.025340218216954
1,1940001,1980000,0.0293886248683748
1,1960001,2000000,0.0265977281035261
1,1980001,2020000,0.0255857939101318
1,2000001,2040000,0.0219311193017001
1,2020001,2060000,0.0189123163592246
1,2040001,2080000,0.0179839085155479
1,2060001,2100000,0.0170157089837204
1,2080001,2120000,0.0176288393607321
1,2100001,2140000,0.0177747990191891
1,2120001,2160000,0.0173047588065362
1,2140001,2180000,0.0192568170678548
1,2160001,2200000,0.0160387464927598
1,2180001,2220000,0.0125720099345978
1,2200001,2240000,0.0128427561416629
1,2220001,2260000,0.0166653351968931
1,2240001,2280000,0.029428158951991
1,2260001,2300000,0.0300545804538655
1,2280001,2320000,0.0157892871614247
1,2300001,2340000,0.00917016617065765
1,2320001,2360000,0.00960684817271531
1,2340001,2380000,0.00863143530450006
1,2360001,2400000,0.00660234204783097
1,2380001,2420000,0.0111905468570992
1,2400001,2440000,0.0144905391881588
1,2420001,2460000,0.0132381824877284
1,2440001,2480000,0.0151800565856503
1,2460001,2500000,0.0206763278133722
1,2480001,2520000,0.0237069780331736
1,2500001,2540000,0.0249432346744773
1,2520001,2560000,0.0277665077997866
1,2540001,2580000,0.0277211959986907
1,2560001,2600000,0.0223743688233357
1,2580001,2620000,0.0143849527637858
1,2600001,2640000,0.0141301203327547
1,2620001,2660000,0.0165762169445418
1,2640001,2680000,0.0134239970276234
1,2660001,2700000,0.0123688120196803
1,2680001,2720000,0.0223700569543843
1,2700001,2740000,0.0224340551103946
1,2720001,2760000,0.0182451201485533
1,2740001,2780000,0.0178857095673153
1,2760001,2800000,0.0167919358246058
1,2780001,2820000,0.019776828407044
1,2800001,2840000,0.0240687750640811
1,2820001,2860000,0.0289199758142518
1,2840001,2880000,0.0316144493321492
1,2860001,2900000,0.0299412774696715
1,2880001,2920000,0.0153699556342765
1,2900001,2940000,0.00792587014768127
1,2920001,2960000,0.00708209421012844
1,2940001,2980000,0.00880562987859913
1,2960001,3000000,0.0190035371481323
1,2980001,3020000,0.0262531114929449
1,3000001,3040000,0.0255075860906736
1,3020001,3060000,0.022351815198676
1,3040001,3080000,0.0205595747000216
1,3060001,3100000,0.0192792820519444
1,3080001,3120000,0.0210682518355924
1,3100001,3140000,0.025416608403954
1,3120001,3160000,0.0300417734042891
1,3140001,3180000,0.0316039337508795
1,3160001,3200000,0.0318150271877696
1,3180001,3220000,0.0338885393288886
1,3200001,3240000,0.0355702622338894
1,3220001,3260000,0.0318812322658035
1,3240001,3280000,0.023070534223184
1,3260001,3300000,0.0214486330531256
1,3280001,3320000,0.0324503673632059
1,3300001,3340000,0.0439529401446781
1,3320001,3360000,0.040102275542289
1,3340001,3380000,0.0254892458854814
1,3360001,3400000,0.0114954321977682
1,3380001,3420000,0.0129640435784287
1,3400001,3440000,0.0122847475527031
1,3420001,3460000,0.0138280659773095
1,3440001,3480000,0.0150781312388203
1,3460001,3500000,0.012173358475592
1,3480001,3520000,0.00984807651674892
1,3500001,3540000,0.0104897973749048
1,3520001,3560000,0.0130154063484138
1,3540001,3580000,0.0219114038372996
